,name,airport
0,all,all
1,William B Hartsfield-Atlanta Intl,ATL
2,Austin-Bergstrom International,AUS
3,Nashville International,BNA
4,Gen Edw L Logan Intl,BOS
5,Baltimore-Washington International,BWI
6,Cleveland-Hopkins Intl,CLE
7,Charlotte/Douglas International,CLT
8,Port Columbus Intl,CMH
9,Cincinnati Northern Kentucky Intl,CVG
10,Dallas Love,DAL
11,Ronald Reagan Washington National,DCA
12,Denver Intl,DEN
13,Dallas-Fort Worth International,DFW
14,Detroit Metropolitan-Wayne County,DTW
15,Newark Intl,EWR
16,Fort Lauderdale-Hollywood Int'l,FLL
17,Honolulu International,HNL
18,William P Hobby,HOU
19,Washington Dulles International,IAD
20,George Bush Intercontinental,IAH
21,Indianapolis International,IND
22,Jacksonville International,JAX
23,John F Kennedy Intl,JFK
24,McCarran International,LAS
25,Los Angeles International,LAX
26,LaGuardia,LGA
27,Kansas City International,MCI
28,Orlando International,MCO
29,Chicago Midway,MDW
30,Miami International,MIA
31,General Mitchell International,MKE
32,Minneapolis-St Paul Intl,MSP
33,New Orleans International,MSY
34,Metropolitan Oakland International,OAK
35,Chicago O'Hare International,ORD
36,Portland Intl,PDX
37,Philadelphia Intl,PHL
38,Phoenix Sky Harbor International,PHX
39,Pittsburgh International,PIT
40,Raleigh-Durham International,RDU
41,San Diego International-Lindbergh,SAN
42,San Antonio International,SAT
43,Seattle-Tacoma Intl,SEA
44,San Francisco International,SFO
45,San Jose International,SJC
46,Salt Lake City Intl,SLC
47,Sacramento International,SMF
48,John Wayne /Orange Co,SNA
49,Lambert-St Louis International,STL
50,Tampa International,TPA
