,name,airport,latitude,longitude
0,ALL,ALL,0,0
1,William B Hartsfield-Atlanta Intl,ATL,33.6367,-84.428101
2,Austin-Bergstrom International,AUS,30.29872235,-97.69978523
3,Nashville International,BNA,36.12450027,-86.67819977
4,Gen Edw L Logan Intl,BOS,42.36429977,-71.00520325
5,Baltimore-Washington International,BWI,39.1754,-76.668297
6,Cleveland-Hopkins Intl,CLE,41.4117012,-81.84980011
7,Charlotte/Douglas International,CLT,35.2140007,-80.94309998
8,Port Columbus Intl,CMH,39.998001,-82.891899
9,Cincinnati Northern Kentucky Intl,CVG,39.04880142,-84.6678009
10,Dallas Love,DAL,32.847099,-96.851799
11,Ronald Reagan Washington National,DCA,38.8521,-77.037697
12,Denver Intl,DEN,39.86169815,-104.6729965
13,Dallas-Fort Worth International,DFW,32.896801,-97.038002
14,Detroit Metropolitan-Wayne County,DTW,42.21239853,-83.35340118
15,Newark Intl,EWR,40.69250107,-74.16870117
16,Fort Lauderdale-Hollywood Int'l,FLL,26.072599,-80.152702
17,William P Hobby,HOU,29.64539909,-95.27890015
18,Washington Dulles International,IAD,38.94449997,-77.45580292
19,George Bush Intercontinental,IAH,29.9843998,-95.34140015
20,Indianapolis International,IND,39.7173,-86.294403
21,Jacksonville International,JAX,30.49410057,-81.68789673
22,John F Kennedy Intl,JFK,40.63980103,-73.77890015
23,McCarran International,LAS,36.08010101,-115.1520004
24,Los Angeles International,LAX,33.94250107,-118.4079971
25,LaGuardia,LGA,40.77719879,-73.87259674
26,Kansas City International,MCI,39.2976,-94.713898
27,Orlando International,MCO,28.42939949,-81.30899811
28,Chicago Midway,MDW,41.785999,-87.752403
29,Miami International,MIA,25.79319954,-80.29060364
30,General Mitchell International,MKE,42.94720078,-87.89659882
31,Minneapolis-St Paul Intl,MSP,44.882,-93.221802
32,New Orleans International,MSY,29.99340057,-90.25800323
33,Metropolitan Oakland International,OAK,37.721298,-122.221001
34,Chicago O'Hare International,ORD,41.9786,-87.9048
35,Portland Intl,PDX,45.58869934,-122.5979996
36,Philadelphia Intl,PHL,39.87189865,-75.2410965
37,Phoenix Sky Harbor International,PHX,33.43429947,-112.012001
38,Pittsburgh International,PIT,40.49150085,-80.23290253
39,Raleigh-Durham International,RDU,35.87760162,-78.78749847
40,San Diego International-Lindbergh,SAN,32.73360062,-117.1900024
41,San Antonio International,SAT,29.53370094,-98.46980286
42,Seattle-Tacoma Intl,SEA,47.449001,-122.308998
43,San Francisco International,SFO,37.61899948,-122.375
44,San Jose International,SJC,37.362598,-121.929001
45,Salt Lake City Intl,SLC,40.78839874,-111.9779968
46,Sacramento International,SMF,38.69540024,-121.5910034
47,John Wayne /Orange Co,SNA,33.67570114,-117.8679962
48,Lambert-St Louis International,STL,38.748697,-90.370003
49,Tampa International,TPA,27.97550011,-82.53320313
