origin,destination,count
ABQ,ATL,67
ABQ,AUS,92
ABQ,BWI,98
ABQ,DAL,284
ABQ,DEN,471
ABQ,DFW,426
ABQ,HOU,161
ABQ,IAH,193
ABQ,JFK,72
ABQ,LAS,248
ABQ,LAX,274
ABQ,MCI,59
ABQ,MCO,22
ABQ,MDW,106
ABQ,MSP,15
ABQ,OAK,139
ABQ,ORD,158
ABQ,PDX,5
ABQ,PHX,767
ABQ,SAN,110
ABQ,SAT,10
ABQ,SEA,55
ABQ,SFO,212
ABQ,SJC,7
ABQ,SLC,28
ABQ,SNA,4
ALB,ATL,109
ALB,BWI,234
ALB,CLT,155
ALB,DCA,196
ALB,DEN,92
ALB,DTW,109
ALB,EWR,24
ALB,FLL,149
ALB,IAD,11
ALB,LAS,7
ALB,MCO,227
ALB,MDW,128
ALB,MSP,30
ALB,ORD,444
ALB,PHL,110
ALB,RSW,10
ALB,TPA,89
ANC,ATL,23
ANC,DEN,67
ANC,DFW,45
ANC,EWR,4
ANC,HNL,46
ANC,IAH,15
ANC,KOA,8
ANC,LAS,2
ANC,LAX,29
ANC,MSP,55
ANC,OGG,10
ANC,ORD,94
ANC,PDX,90
ANC,PHX,22
ANC,SEA,571
ANC,SFO,14
ANC,SLC,2
ATL,ABQ,105
ATL,ALB,127
ATL,ANC,21
ATL,AUS,666
ATL,BDL,275
ATL,BHM,482
ATL,BNA,624
ATL,BOS,1540
ATL,BUF,172
ATL,BWI,1049
ATL,CHS,431
ATL,CLE,508
ATL,CLT,886
ATL,CMH,582
ATL,COS,110
ATL,CVG,288
ATL,DAL,625
ATL,DAY,138
ATL,DCA,1169
ATL,DEN,1018
ATL,DFW,1246
ATL,DSM,130
ATL,DTW,805
ATL,ELP,84
ATL,EWR,1900
ATL,FLL,1471
ATL,GRR,177
ATL,GSO,342
ATL,GSP,624
ATL,HNL,37
ATL,HOU,772
ATL,IAD,601
ATL,IAH,960
ATL,ICT,123
ATL,IND,610
ATL,JAX,882
ATL,JFK,744
ATL,LAS,771
ATL,LAX,1333
ATL,LEX,386
ATL,LGA,1972
ATL,LIT,307
ATL,MCI,564
ATL,MCO,1763
ATL,MDW,685
ATL,MEM,509
ATL,MIA,1113
ATL,MKE,387
ATL,MSN,124
ATL,MSP,684
ATL,MSY,994
ATL,MYR,150
ATL,OAK,89
ATL,OKC,208
ATL,OMA,218
ATL,ORD,1448
ATL,ORF,420
ATL,PBI,754
ATL,PDX,166
ATL,PHL,1218
ATL,PHX,645
ATL,PIT,458
ATL,PNS,326
ATL,PSP,2
ATL,PVD,160
ATL,PWM,110
ATL,RDU,935
ATL,RIC,691
ATL,RNO,4
ATL,ROC,128
ATL,RSW,562
ATL,SAN,334
ATL,SAT,518
ATL,SAV,422
ATL,SDF,344
ATL,SEA,562
ATL,SFO,728
ATL,SJC,146
ATL,SJU,257
ATL,SLC,511
ATL,SMF,145
ATL,SNA,186
ATL,STL,586
ATL,SYR,144
ATL,TPA,1256
ATL,TUL,191
ATL,TUS,109
ATL,TYS,456
ATL,XNA,361
AUS,ABQ,81
AUS,ATL,557
AUS,BNA,145
AUS,BOS,236
AUS,BUF,29
AUS,BWI,89
AUS,CHS,18
AUS,CLE,42
AUS,CLT,201
AUS,CMH,25
AUS,CVG,79
AUS,DAL,523
AUS,DCA,73
AUS,DEN,539
AUS,DFW,587
AUS,DTW,123
AUS,ELP,149
AUS,EWR,564
AUS,FLL,188
AUS,HOU,506
AUS,IAD,223
AUS,IAH,532
AUS,IND,57
AUS,JAX,22
AUS,JFK,402
AUS,LAS,372
AUS,LAX,513
AUS,LGB,108
AUS,MCI,73
AUS,MCO,268
AUS,MDW,171
AUS,MEM,18
AUS,MIA,111
AUS,MKE,25
AUS,MSP,156
AUS,MSY,195
AUS,OAK,51
AUS,OMA,11
AUS,ONT,51
AUS,ORD,402
AUS,PDX,72
AUS,PHL,168
AUS,PHX,524
AUS,PIT,12
AUS,PNS,4
AUS,PVD,11
AUS,RDU,82
AUS,RNO,32
AUS,SAN,237
AUS,SDF,12
AUS,SEA,228
AUS,SFO,530
AUS,SJC,273
AUS,SLC,118
AUS,SMF,55
AUS,SNA,23
AUS,STL,68
AUS,TPA,86
BDL,ATL,260
BDL,BWI,361
BDL,CLE,19
BDL,CLT,314
BDL,CVG,28
BDL,DCA,372
BDL,DEN,68
BDL,DFW,132
BDL,DTW,124
BDL,EWR,47
BDL,FLL,345
BDL,IAD,161
BDL,IAH,20
