arrcount,arrsum,delaycount,delaysum,depcount,depsum,iata,latitude,longitude,name,time,year
2.0,41.0,3.0,132.0,1.0,91.0,ATL,33.6367,-84.428101,William B Hartsfield-Atlanta Intl,0,2009
5.0,646.0,6.0,647.0,1.0,1.0,LAX,33.94250107,-118.4079971,Los Angeles International,0,2009
4.0,199.0,5.0,396.0,1.0,197.0,ORD,41.9786,-87.9048,Chicago O'Hare International,0,2009
4.0,164.0,4.0,164.0,0.0,0.0,DEN,39.861698150635,-104.672996521,Denver Intl,0,2009
4.0,239.0,5.0,336.0,1.0,97.0,DFW,32.896801,-97.038002,Dallas-Fort Worth International,0,2009
0.0,0.0,2.0,28.0,2.0,28.0,LAS,36.08010101,-115.1520004,McCarran International,0,2009
0.0,0.0,4.0,92.0,4.0,92.0,SFO,37.61899948120117,-122.375,San Francisco International,0,2009
4.0,53.0,6.0,175.0,2.0,122.0,PHX,33.43429946899414,-112.01200103759766,Phoenix Sky Harbor International,0,2009
3.0,86.0,3.0,86.0,0.0,0.0,IAH,29.98439979553223,-95.34140014648438,George Bush Intercontinental,0,2009
1.0,143.0,2.0,152.0,1.0,9.0,SEA,47.449001,-122.308998,Seattle-Tacoma Intl,0,2009
3.0,254.0,3.0,254.0,0.0,0.0,BOS,42.36429977,-71.00520325,Gen Edw L Logan Intl,0,2009
6.0,145.0,7.0,309.0,1.0,164.0,MCO,28.429399490356445,-81.30899810791016,Orlando International,0,2009
7.0,381.0,7.0,381.0,0.0,0.0,EWR,40.69250106811523,-74.168701171875,Newark Intl,0,2009
2.0,73.0,2.0,73.0,0.0,0.0,LGA,40.77719879,-73.87259674,LaGuardia,0,2009
5.0,277.0,5.0,277.0,0.0,0.0,JFK,40.63980103,-73.77890015,John F Kennedy Intl,0,2009
9.0,428.0,9.0,428.0,0.0,0.0,FLL,26.072599,-80.152702,Fort Lauderdale-Hollywood Int'l,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,SAN,32.7336006165,-117.190002441,San Diego International-Lindbergh,0,2009
2.0,50.0,2.0,50.0,0.0,0.0,CLT,35.2140007019043,-80.94309997558594,Charlotte/Douglas International,0,2009
4.0,83.0,4.0,83.0,0.0,0.0,DTW,42.212398529052734,-83.35340118408203,Detroit Metropolitan-Wayne County,0,2009
2.0,52.0,2.0,52.0,0.0,0.0,DCA,38.8521,-77.037697,Ronald Reagan Washington National,0,2009
2.0,71.0,2.0,71.0,0.0,0.0,MSP,44.882,-93.221802,Minneapolis-St Paul Intl,0,2009
3.0,91.0,4.0,192.0,1.0,101.0,MIA,25.79319953918457,-80.29060363769531,Miami International,0,2009
4.0,147.0,4.0,147.0,0.0,0.0,BWI,39.1754,-76.668297,Baltimore-Washington International,0,2009
2.0,59.0,2.0,59.0,0.0,0.0,PHL,39.87189865112305,-75.24109649658203,Philadelphia Intl,0,2009
4.0,82.0,4.0,82.0,0.0,0.0,TPA,27.975500106811523,-82.533203125,Tampa International,0,2009
3.0,150.0,4.0,175.0,1.0,25.0,SLC,40.78839874267578,-111.97799682617188,Salt Lake City Intl,0,2009
1.0,12.0,1.0,12.0,0.0,0.0,IAD,38.94449997,-77.45580292,Washington Dulles International,0,2009
2.0,33.0,2.0,33.0,0.0,0.0,MDW,41.785999,-87.752403,Chicago Midway,0,2009
2.0,188.0,2.0,188.0,0.0,0.0,BNA,36.1245002746582,-86.6781997680664,Nashville International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,PDX,45.58869934,-122.5979996,Portland Intl,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,DAL,32.847099,-96.851799,Dallas Love,0,2009
2.0,149.0,2.0,149.0,0.0,0.0,AUS,30.2987223546,-97.6997852325,Austin-Bergstrom International,0,2009
2.0,169.0,2.0,169.0,0.0,0.0,RDU,35.877601623535156,-78.7874984741211,Raleigh-Durham International,0,2009
1.0,13.0,1.0,13.0,0.0,0.0,STL,38.748697,-90.370003,Lambert-St Louis International,0,2009
4.0,143.0,4.0,143.0,0.0,0.0,MSY,29.99340057373047,-90.25800323486328,New Orleans International,0,2009
1.0,196.0,1.0,196.0,0.0,0.0,MCI,39.2976,-94.713898,Kansas City International,0,2009
1.0,61.0,1.0,61.0,0.0,0.0,HOU,29.64539909,-95.27890015,William P Hobby,0,2009
2.0,109.0,2.0,109.0,0.0,0.0,PIT,40.49150085,-80.23290253,Pittsburgh International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,SJC,37.362598,-121.929001,San Jose International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,OAK,37.721298,-122.221001,Metropolitan Oakland International,0,2009
0.0,0.0,1.0,10.0,1.0,10.0,SMF,38.69540023803711,-121.59100341796876,Sacramento International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,IND,39.7173,-86.294403,Indianapolis International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,SNA,33.67570114,-117.8679962,John Wayne /Orange Co,0,2009
2.0,251.0,2.0,251.0,0.0,0.0,CLE,41.411701202399996,-81.8498001099,Cleveland-Hopkins Intl,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,CMH,39.998001,-82.891899,Port Columbus Intl,0,2009
5.0,301.0,5.0,301.0,0.0,0.0,SAT,29.533700942993164,-98.46980285644531,San Antonio International,0,2009
3.0,140.0,3.0,140.0,0.0,0.0,CVG,39.0488014221,-84.6678009033,Cincinnati Northern Kentucky Intl,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,JAX,30.49410057067871,-81.68789672851562,Jacksonville International,0,2009
0.0,0.0,2.0,141.0,2.0,141.0,HNL,21.32062,-157.924228,Honolulu International,0,2009
2.0,57.0,2.0,57.0,0.0,0.0,MKE,42.94720077514648,-87.89659881591797,General Mitchell International,0,2009
2.0,41.0,3.0,132.0,1.0,91.0,ATL,33.6367,-84.428101,William B Hartsfield-Atlanta Intl,0,2009
5.0,646.0,6.0,647.0,1.0,1.0,LAX,33.94250107,-118.4079971,Los Angeles International,0,2009
4.0,199.0,5.0,396.0,1.0,197.0,ORD,41.9786,-87.9048,Chicago O'Hare International,0,2009
4.0,164.0,4.0,164.0,0.0,0.0,DEN,39.861698150635,-104.672996521,Denver Intl,0,2009
4.0,239.0,5.0,336.0,1.0,97.0,DFW,32.896801,-97.038002,Dallas-Fort Worth International,0,2009
0.0,0.0,2.0,28.0,2.0,28.0,LAS,36.08010101,-115.1520004,McCarran International,0,2009
0.0,0.0,4.0,92.0,4.0,92.0,SFO,37.61899948120117,-122.375,San Francisco International,0,2009
4.0,53.0,6.0,175.0,2.0,122.0,PHX,33.43429946899414,-112.01200103759766,Phoenix Sky Harbor International,0,2009
3.0,86.0,3.0,86.0,0.0,0.0,IAH,29.98439979553223,-95.34140014648438,George Bush Intercontinental,0,2009
1.0,143.0,2.0,152.0,1.0,9.0,SEA,47.449001,-122.308998,Seattle-Tacoma Intl,0,2009
3.0,254.0,3.0,254.0,0.0,0.0,BOS,42.36429977,-71.00520325,Gen Edw L Logan Intl,0,2009
6.0,145.0,7.0,309.0,1.0,164.0,MCO,28.429399490356445,-81.30899810791016,Orlando International,0,2009
7.0,381.0,7.0,381.0,0.0,0.0,EWR,40.69250106811523,-74.168701171875,Newark Intl,0,2009
2.0,73.0,2.0,73.0,0.0,0.0,LGA,40.77719879,-73.87259674,LaGuardia,0,2009
5.0,277.0,5.0,277.0,0.0,0.0,JFK,40.63980103,-73.77890015,John F Kennedy Intl,0,2009
9.0,428.0,9.0,428.0,0.0,0.0,FLL,26.072599,-80.152702,Fort Lauderdale-Hollywood Int'l,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,SAN,32.7336006165,-117.190002441,San Diego International-Lindbergh,0,2009
2.0,50.0,2.0,50.0,0.0,0.0,CLT,35.2140007019043,-80.94309997558594,Charlotte/Douglas International,0,2009
4.0,83.0,4.0,83.0,0.0,0.0,DTW,42.212398529052734,-83.35340118408203,Detroit Metropolitan-Wayne County,0,2009
2.0,52.0,2.0,52.0,0.0,0.0,DCA,38.8521,-77.037697,Ronald Reagan Washington National,0,2009
2.0,71.0,2.0,71.0,0.0,0.0,MSP,44.882,-93.221802,Minneapolis-St Paul Intl,0,2009
3.0,91.0,4.0,192.0,1.0,101.0,MIA,25.79319953918457,-80.29060363769531,Miami International,0,2009
4.0,147.0,4.0,147.0,0.0,0.0,BWI,39.1754,-76.668297,Baltimore-Washington International,0,2009
2.0,59.0,2.0,59.0,0.0,0.0,PHL,39.87189865112305,-75.24109649658203,Philadelphia Intl,0,2009
4.0,82.0,4.0,82.0,0.0,0.0,TPA,27.975500106811523,-82.533203125,Tampa International,0,2009
3.0,150.0,4.0,175.0,1.0,25.0,SLC,40.78839874267578,-111.97799682617188,Salt Lake City Intl,0,2009
1.0,12.0,1.0,12.0,0.0,0.0,IAD,38.94449997,-77.45580292,Washington Dulles International,0,2009
2.0,33.0,2.0,33.0,0.0,0.0,MDW,41.785999,-87.752403,Chicago Midway,0,2009
2.0,188.0,2.0,188.0,0.0,0.0,BNA,36.1245002746582,-86.6781997680664,Nashville International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,PDX,45.58869934,-122.5979996,Portland Intl,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,DAL,32.847099,-96.851799,Dallas Love,0,2009
2.0,149.0,2.0,149.0,0.0,0.0,AUS,30.2987223546,-97.6997852325,Austin-Bergstrom International,0,2009
2.0,169.0,2.0,169.0,0.0,0.0,RDU,35.877601623535156,-78.7874984741211,Raleigh-Durham International,0,2009
1.0,13.0,1.0,13.0,0.0,0.0,STL,38.748697,-90.370003,Lambert-St Louis International,0,2009
4.0,143.0,4.0,143.0,0.0,0.0,MSY,29.99340057373047,-90.25800323486328,New Orleans International,0,2009
1.0,196.0,1.0,196.0,0.0,0.0,MCI,39.2976,-94.713898,Kansas City International,0,2009
1.0,61.0,1.0,61.0,0.0,0.0,HOU,29.64539909,-95.27890015,William P Hobby,0,2009
2.0,109.0,2.0,109.0,0.0,0.0,PIT,40.49150085,-80.23290253,Pittsburgh International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,SJC,37.362598,-121.929001,San Jose International,0,2009
0.0,0.0,0.0,0.0,0.0,0.0,OAK,37.721298,-122.221001,Metropolitan Oakland International,0,2009
