iata,lat,lon,arrsum,arrcount,depsum,depcount,delaysum,delaycount,time
ATL,33.6367,-84.428101,0.0,0.0,0.0,0.0,0.0,0.0,0
LAX,33.94250107,-118.40799709999999,44.0,1.0,58.0,5.0,102.0,6.0,0
ORD,41.9786,-87.9048,0.0,0.0,0.0,0.0,0.0,0.0,0
DEN,39.861698150635,-104.672996521,0.0,0.0,0.0,0.0,0.0,0.0,0
DFW,32.896801,-97.038002,0.0,0.0,0.0,0.0,0.0,0.0,0
LAS,36.08010101,-115.15200039999999,40.0,2.0,14.0,1.0,54.0,3.0,0
SFO,37.61899948120117,-122.375,0.0,0.0,112.0,3.0,112.0,3.0,0
PHX,33.43429946899414,-112.01200103759766,3.0,1.0,22.0,3.0,25.0,4.0,0
IAH,29.98439979553223,-95.34140014648438,0.0,0.0,0.0,0.0,0.0,0.0,0
SEA,47.449001,-122.308998,0.0,0.0,0.0,0.0,0.0,0.0,0
BOS,42.36429977,-71.00520325,9.0,1.0,0.0,0.0,9.0,1.0,0
MCO,28.429399490356445,-81.30899810791016,0.0,0.0,0.0,0.0,0.0,0.0,0
EWR,40.69250106811523,-74.168701171875,0.0,0.0,0.0,0.0,0.0,0.0,0
LGA,40.77719879,-73.87259674,0.0,0.0,0.0,0.0,0.0,0.0,0
JFK,40.63980103,-73.77890015,21.0,2.0,0.0,0.0,21.0,2.0,0
FLL,26.072599,-80.152702,0.0,0.0,0.0,0.0,0.0,0.0,0
SAN,32.7336006165,-117.190002441,0.0,0.0,0.0,0.0,0.0,0.0,0
CLT,35.2140007019043,-80.94309997558594,0.0,0.0,0.0,0.0,0.0,0.0,0
DTW,42.212398529052734,-83.35340118408203,0.0,0.0,0.0,0.0,0.0,0.0,0
DCA,38.8521,-77.037697,0.0,0.0,0.0,0.0,0.0,0.0,0
MSP,44.882,-93.221802,0.0,0.0,0.0,0.0,0.0,0.0,0
MIA,25.79319953918457,-80.29060363769531,83.0,1.0,0.0,0.0,83.0,1.0,0
BWI,39.1754,-76.668297,0.0,0.0,0.0,0.0,0.0,0.0,0
PHL,39.87189865112305,-75.24109649658203,0.0,0.0,0.0,0.0,0.0,0.0,0
